user,mac,staylength
17009,10789,189
17981,45470,189
19043,47238,189
25808,61640,189
28310,6731,189
28491,20132,189
36851,29776,189
37065,14656,189
1738,12863,188
3366,56194,188
3366,60977,188
8495,28027,188
8767,28610,188
14672,48900,188
16739,49408,188
17289,31584,188
17626,55672,188
19488,45996,188
22348,42549,188
25686,27215,188
27562,25935,188
29007,25260,188
31753,12,188
34743,40441,188
823,32497,187
2436,23186,187
5969,56227,187
15674,14410,187
21851,9773,187
22247,18199,187
23845,45955,187
25374,43037,187
28742,13194,187
29766,8260,187
30197,13008,187
30406,34993,187
31920,48541,187
5161,43419,186
9955,35569,186
12057,38857,186
12215,13274,186
13493,3069,186
18460,26502,186
19934,46928,186
22777,31958,186
27455,32250,186
28868,20027,186
4956,44730,185
7150,27626,185
13514,41472,185
15118,3605,185
16062,571,185
16441,46189,185
17045,35143,185
19521,2153,185
20664,3789,185
21529,29683,185
22434,42598,185
27885,6614,185
30349,13879,185
30361,49289,185
30584,21199,185
31153,54465,185
33114,24817,185
33423,59714,185
37433,4294,185
1842,36722,184
3465,59249,184
3931,60066,184
4122,55596,184
10186,11141,184
11253,57216,184
12643,27276,184
13557,9282,184
14627,48931,184
17387,52421,184
18120,49977,184
18979,32694,184
19055,26182,184
19595,30513,184
21954,45942,184
22755,16477,184
