user,mac,staylength
16460,46580,4
16465,23002,4
16475,21191,4
16486,61384,4
16502,38315,4
16598,1420,4
16697,41420,4
16704,14973,4
16716,26912,4
16790,45816,4
16834,31603,4
16863,58813,4
16880,22133,4
16969,57395,4
17024,5814,4
17031,19613,4
17209,6773,4
17301,38566,4
17463,4992,4
17502,42600,4
17561,18583,4
17620,39075,4
17626,55672,4
17644,15603,4
17658,59518,4
17662,14175,4
17730,208,4
17746,54011,4
17857,24986,4
17892,62001,4
17913,30033,4
17949,36479,4
18000,25036,4
18006,7697,4
18078,1965,4
18204,21953,4
18226,12965,4
18274,44239,4
18274,45151,4
18425,21600,4
18445,2359,4
18595,59075,4
18605,14885,4
18672,48530,4
18772,32315,4
19036,27132,4
19066,4710,4
19155,9374,4
19163,32762,4
19229,21392,4
19364,25664,4
19376,60377,4
19446,46916,4
19458,16305,4
19570,4525,4
19595,30513,4
19605,20316,4
19659,62636,4
19661,42480,4
19685,48300,4
19702,56921,4
19739,9227,4
19744,26073,4
19796,7199,4
19809,51701,4
19911,22329,4
19946,17504,4
19983,60242,4
20034,51656,4
20052,12847,4
20065,4798,4
20171,49513,4
20229,32991,4
20307,58021,4
20334,31228,4
20382,31542,4
20394,47152,4
20420,14960,4
20440,53667,4
20442,12966,4
20476,6523,4
20479,34293,4
20489,36854,4
20575,17698,4
20588,32058,4
20590,45716,4
20671,14006,4
20715,58495,4
20771,60277,4
20816,3495,4
20846,7677,4
20877,41293,4
21011,30101,4
21017,9278,4
21217,11098,4
21282,6508,4
21323,57102,4
21361,26280,4
21403,17957,4
21471,10493,4
21559,25656,4
21581,13433,4
21612,16735,4
21691,25724,4
21800,33230,4
21935,27764,4
21975,3675,4
22033,14680,4
22057,11463,4
22080,27561,4
22213,21661,4
22253,45658,4
22278,62647,4
22345,3639,4
22427,2205,4
22525,41326,4
22567,14755,4
22684,54700,4
22696,36150,4
22699,44594,4
22705,55180,4
22722,2174,4
22793,39123,4
22817,24281,4
22842,61263,4
22884,932,4
22944,51,4
23023,46303,4
23174,29650,4
23292,54356,4
23376,61317,4
23386,56113,4
23409,22034,4
23499,9962,4
23599,50544,4
23636,8183,4
23654,26203,4
23675,12488,4
23703,40270,4
23718,32196,4
23797,13305,4
23810,47229,4
23854,49083,4
23906,5953,4
23932,59021,4
24026,13579,4
24039,20423,4
24088,9471,4
24351,39849,4
24442,42489,4
